-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.074ms        12.95%       5.074ms     253.687us           0 B           0 B           0 B           0 B            20  
                                         attention/mask         0.00%       0.000us         0.00%       0.000us       0.000us       4.463ms        11.40%       4.463ms      27.897us           0 B           0 B           0 B           0 B           160  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       4.206ms        10.74%       4.206ms      26.287us           0 B           0 B           0 B           0 B           160  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       4.206ms        10.74%       4.206ms      26.287us           0 B           0 B           0 B           0 B           160  
                                   attention/gqa_repeat         0.00%       0.000us         0.00%       0.000us       0.000us       3.163ms         8.08%       3.163ms      19.770us           0 B           0 B           0 B           0 B           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.151ms         8.04%       3.151ms       1.641us           0 B           0 B           0 B           0 B          1920  
                                            aten::copy_         2.53%       4.018ms         8.17%      12.948ms       8.967us       2.446ms         6.25%       2.446ms       1.694us           0 B           0 B           0 B           0 B          1444  
                                         kv_cache/write         0.00%       0.000us         0.00%       0.000us       0.000us       2.148ms         5.48%       2.148ms      13.426us           0 B           0 B           0 B           0 B           160  
                                              aten::mul         3.72%       5.901ms         6.64%      10.529ms       7.114us       2.136ms         5.45%       2.138ms       1.444us           0 B           0 B       2.97 MB       2.97 MB          1480  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.735ms         4.43%       1.735ms      10.846us           0 B           0 B           0 B           0 B           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.454ms         3.71%       1.454ms       1.484us           0 B           0 B           0 B           0 B           980  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.425ms         3.64%       1.425ms       4.453us           0 B           0 B           0 B           0 B           320  
                                              aten::add         2.58%       4.094ms         4.10%       6.499ms       6.631us       1.183ms         3.02%       1.183ms       1.207us           0 B           0 B       1.18 MB       1.18 MB           980  
                                              aten::cat         1.97%       3.121ms         3.68%       5.827ms      18.211us     876.900us         2.24%     876.900us       2.740us           0 B           0 B     400.00 KB     400.00 KB           320  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     805.605us         2.06%     805.605us       1.259us           0 B           0 B           0 B           0 B           640  
                                             aten::mean         1.34%       2.128ms         1.93%       3.059ms       8.996us     793.562us         2.03%     793.562us       2.334us           0 B           0 B     170.00 KB     170.00 KB           340  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     793.562us         2.03%     793.562us       2.334us           0 B           0 B           0 B           0 B           340  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     682.358us         1.74%     682.358us       1.365us           0 B           0 B           0 B           0 B           500  
                                            mlp/act_mul         0.00%       0.000us         0.00%       0.000us       0.000us     602.425us         1.54%     602.425us       3.765us           0 B           0 B           0 B           0 B           160  
                                            aten::fill_         0.62%     990.143us         1.32%       2.092ms       4.508us     461.859us         1.18%     461.859us       0.995us           0 B           0 B           0 B           0 B           464  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     461.859us         1.18%     461.859us       0.995us           0 B           0 B           0 B           0 B           464  
                                              aten::neg         0.86%       1.371ms         1.39%       2.201ms       6.878us     455.154us         1.16%     455.154us       1.422us           0 B           0 B     240.00 KB     240.00 KB           320  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     455.154us         1.16%     455.154us       1.422us           0 B           0 B           0 B           0 B           320  
                                            aten::rsqrt         0.82%       1.297ms         1.37%       2.168ms       6.378us     410.395us         1.05%     410.395us       1.207us           0 B           0 B     170.00 KB     170.00 KB           340  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     410.395us         1.05%     410.395us       1.207us           0 B           0 B           0 B           0 B           340  
                                              aten::pow         1.44%       2.288ms         2.16%       3.427ms      10.081us     409.182us         1.04%     409.182us       1.203us           0 B           0 B     680.00 KB     680.00 KB           340  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     409.182us         1.04%     409.182us       1.203us           0 B           0 B           0 B           0 B           340  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     377.029us         0.96%     377.029us       1.109us           0 B           0 B           0 B           0 B           340  
                                            aten::where         0.97%       1.533ms         3.56%       5.639ms      17.621us     307.358us         0.78%     768.542us       2.402us           0 B           0 B     320.00 KB     -80.00 KB           320  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     307.358us         0.78%     307.358us       1.921us           0 B           0 B           0 B           0 B           160  
                                           aten::arange         0.92%       1.466ms         3.57%       5.663ms       8.849us     304.795us         0.78%     609.590us       0.952us           0 B           0 B     640.00 KB           0 B           640  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     304.795us         0.78%     304.795us       0.952us           0 B           0 B           0 B           0 B           320  
                                               sampling         0.00%       0.000us         0.00%       0.000us       0.000us     289.149us         0.74%     289.149us      14.457us           0 B           0 B           0 B           0 B            20  
                                               aten::le         0.54%     855.912us         0.79%       1.259ms       7.871us     271.774us         0.69%     271.774us       1.699us           0 B           0 B      80.00 KB      80.00 KB           160  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     271.774us         0.69%     271.774us       1.699us           0 B           0 B           0 B           0 B           160  
                                             aten::silu         0.50%     791.364us         0.80%       1.271ms       7.944us     251.453us         0.64%     251.453us       1.572us           0 B           0 B     880.00 KB     880.00 KB           160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     251.453us         0.64%     251.453us       1.572us           0 B           0 B           0 B           0 B           160  
                                              attention         0.00%       0.000us         0.00%       0.000us       0.000us     237.468us         0.61%     237.468us       1.484us           0 B           0 B           0 B           0 B           160  
                                                    mlp         0.00%       0.000us         0.00%       0.000us       0.000us     195.137us         0.50%     195.137us       1.220us           0 B           0 B           0 B           0 B           160  
                                           aten::argmax         0.11%     172.018us         0.16%     253.739us      12.687us     186.686us         0.48%     186.686us       9.334us           0 B           0 B      10.00 KB      10.00 KB            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     186.686us         0.48%     186.686us       9.334us           0 B           0 B           0 B           0 B            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     150.496us         0.38%     150.496us       1.045us           0 B           0 B           0 B           0 B           144  
                                     aten::index_select         0.13%     200.073us         0.45%     719.590us      35.979us      48.989us         0.13%      48.989us       2.449us           0 B           0 B      40.00 KB           0 B            20  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      48.989us         0.13%      48.989us       2.449us           0 B           0 B           0 B           0 B            20  
                                              embedding         0.00%       0.000us         0.00%       0.000us       0.000us      48.989us         0.13%      48.989us       2.449us           0 B           0 B           0 B           0 B            20  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      21.823us         0.06%      21.823us       1.091us           0 B           0 B           0 B           0 B            20  
                                Activity Buffer Request         0.88%       1.392ms         0.88%       1.392ms     695.794us       1.536us         0.00%       1.536us       0.768us           0 B           0 B           0 B           0 B             2  
                                  cudaDeviceSynchronize         0.38%     604.484us         0.38%     604.484us     201.495us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                              embedding         0.21%     327.566us         0.74%       1.176ms      58.794us       0.000us         0.00%      48.989us       2.449us           0 B           0 B      40.00 KB           0 B            20  
                                        aten::embedding         0.06%      87.572us         0.54%     848.320us      42.416us       0.000us         0.00%      48.989us       2.449us           0 B           0 B      40.00 KB           0 B            20  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 158.559ms
Self CUDA time total: 39.169ms
