-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       4.181ms        12.33%       4.181ms      26.132us           0 B           0 B           0 B           0 B           160  
                                   attention/gqa_repeat         0.00%       0.000us         0.00%       0.000us       0.000us       3.181ms         9.38%       3.181ms      19.884us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       2.380ms         7.02%       2.380ms      14.872us           0 B           0 B           0 B           0 B           160  
                                           kv_cache/cat         0.00%       0.000us         0.00%       0.000us       0.000us       1.875ms         5.53%       1.875ms      11.718us           0 B           0 B           0 B           0 B           160  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.801ms         5.31%       1.801ms      11.254us           0 B           0 B           0 B           0 B           160  
                                              aten::cat         4.50%       4.643ms         8.13%       8.388ms      13.107us       1.757ms         5.18%       1.757ms       2.746us           0 B           0 B      22.03 MB      22.03 MB           640  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.750ms         5.16%       1.750ms       1.823us           0 B           0 B           0 B           0 B           960  
                                              aten::mul         3.35%       3.452ms         5.27%       5.439ms       6.798us       1.229ms         3.62%       1.229ms       1.537us           0 B           0 B       1.64 MB       1.64 MB           800  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.031ms         3.04%       1.031ms       1.611us           0 B           0 B           0 B           0 B           640  
                                            aten::copy_         0.91%     941.691us         5.97%       6.155ms      18.104us     875.292us         2.58%     875.292us       2.574us           0 B           0 B           0 B           0 B           340  
                                              aten::add         2.42%       2.494ms         3.91%       4.031ms       6.298us     813.565us         2.40%     813.565us       1.271us           0 B           0 B       1.02 MB       1.02 MB           640  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     813.565us         2.40%     813.565us       1.271us           0 B           0 B           0 B           0 B           640  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     805.059us         2.37%     805.059us       2.648us           0 B           0 B           0 B           0 B           304  
                                  aten::_fused_rms_norm         1.76%       1.816ms         4.29%       4.426ms      13.018us     734.790us         2.17%     734.790us       2.161us           0 B           0 B     850.00 KB           0 B           340  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us     734.790us         2.17%     734.790us       2.161us           0 B           0 B           0 B           0 B           340  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     734.790us         2.17%     734.790us       2.161us           0 B           0 B           0 B           0 B           340  
                                            mlp/act_mul         0.00%       0.000us         0.00%       0.000us       0.000us     580.397us         1.71%     580.397us       3.627us           0 B           0 B           0 B           0 B           160  
                                              aten::neg         1.33%       1.371ms         2.08%       2.149ms       6.717us     479.017us         1.41%     479.017us       1.497us           0 B           0 B     240.00 KB     240.00 KB           320  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     479.017us         1.41%     479.017us       1.497us           0 B           0 B           0 B           0 B           320  
                                               sampling         0.00%       0.000us         0.00%       0.000us       0.000us     276.279us         0.81%     276.279us      13.814us           0 B           0 B           0 B           0 B            20  
                                             aten::silu         0.78%     803.342us         1.22%       1.257ms       7.857us     252.244us         0.74%     252.244us       1.577us           0 B           0 B     880.00 KB     880.00 KB           160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     252.244us         0.74%     252.244us       1.577us           0 B           0 B           0 B           0 B           160  
                                              attention         0.00%       0.000us         0.00%       0.000us       0.000us     243.381us         0.72%     243.381us       1.521us           0 B           0 B           0 B           0 B           160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     198.522us         0.59%     198.522us       1.241us           0 B           0 B           0 B           0 B           160  
                                                    mlp         0.00%       0.000us         0.00%       0.000us       0.000us     195.669us         0.58%     195.669us       1.223us           0 B           0 B           0 B           0 B           160  
                                           aten::argmax         0.18%     182.827us         0.25%     260.140us      13.007us     191.451us         0.56%     191.451us       9.573us           0 B           0 B      10.00 KB      10.00 KB            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     191.451us         0.56%     191.451us       9.573us           0 B           0 B           0 B           0 B            20  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      56.255us         0.17%      56.255us       3.516us           0 B           0 B           0 B           0 B            16  
                                     aten::index_select         0.20%     202.510us         0.74%     761.994us      38.100us      48.796us         0.14%      48.796us       2.440us           0 B           0 B      40.00 KB           0 B            20  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      48.796us         0.14%      48.796us       2.440us           0 B           0 B           0 B           0 B            20  
                                              embedding         0.00%       0.000us         0.00%       0.000us       0.000us      48.796us         0.14%      48.796us       2.440us           0 B           0 B           0 B           0 B            20  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      21.632us         0.06%      21.632us       1.082us           0 B           0 B           0 B           0 B            20  
                                  cudaDeviceSynchronize         0.94%     974.358us         0.94%     974.358us     324.786us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                Activity Buffer Request         0.25%     260.940us         0.25%     260.940us     260.940us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                              embedding         0.31%     322.677us         1.18%       1.214ms      60.681us       0.000us         0.00%      48.796us       2.440us           0 B           0 B      40.00 KB           0 B            20  
                                        aten::embedding         0.08%      82.565us         0.86%     890.949us      44.547us       0.000us         0.00%      48.796us       2.440us           0 B           0 B      40.00 KB           0 B            20  
                                          aten::reshape         0.53%     548.303us         0.75%     768.480us       0.915us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           840  
                                             aten::view         0.72%     738.952us         0.72%     738.952us       0.298us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2480  
                                            aten::empty         3.26%       3.362ms         3.26%       3.362ms       2.025us       0.000us         0.00%       0.000us       0.000us       2.50 KB       2.50 KB      87.71 MB      87.71 MB          1660  
                                          aten::resize_         0.07%      76.175us         0.07%      76.175us       3.809us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      40.00 KB      40.00 KB            20  
                                       cudaLaunchKernel        11.94%      12.317ms        11.94%      12.317ms       2.701us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4560  
                                                layer_0         0.37%     377.389us        12.31%      12.699ms     634.935us       0.000us         0.00%       3.563ms     178.154us           0 B           0 B    -300.00 KB     -80.00 KB            20  
                                                rmsnorm         3.23%       3.330ms         8.60%       8.872ms      26.095us       0.000us         0.00%     734.790us       2.161us           0 B           0 B     320.00 KB    -360.00 KB           340  
                                         aten::rms_norm         1.08%       1.117ms         5.37%       5.543ms      16.302us       0.000us         0.00%     734.790us       2.161us           0 B           0 B     680.00 KB    -170.00 KB           340  
                                              attention         6.33%       6.532ms        63.09%      65.059ms     406.621us       0.000us         0.00%      14.566ms      91.038us           0 B           0 B      -2.03 MB     -87.50 MB           160  
                                     attention/qkv_proj         1.97%       2.032ms         5.50%       5.675ms      35.471us       0.000us         0.00%       2.380ms      14.872us           0 B           0 B     480.00 KB           0 B           160  
                                           aten::linear         0.97%       1.003ms        14.12%      14.559ms      18.198us       0.000us         0.00%      16.821ms      21.027us           0 B           0 B       2.81 MB           0 B           800  
                                                aten::t         0.72%     745.445us         1.87%       1.932ms       2.415us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           800  
                                        aten::transpose         1.98%       2.040ms         2.69%       2.774ms       1.334us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2080  
                                       aten::as_strided         1.79%       1.841ms         1.79%       1.841ms       0.316us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          5820  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 103.121ms
Self CUDA time total: 33.919ms
