-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.080ms        13.15%       5.080ms     253.993us           0 B           0 B           0 B           0 B            20  
                                         attention/mask         0.00%       0.000us         0.00%       0.000us       0.000us       4.362ms        11.29%       4.362ms      27.263us           0 B           0 B           0 B           0 B           160  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       4.171ms        10.80%       4.171ms      26.068us           0 B           0 B           0 B           0 B           160  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       4.171ms        10.80%       4.171ms      26.068us           0 B           0 B           0 B           0 B           160  
                                   attention/gqa_repeat         0.00%       0.000us         0.00%       0.000us       0.000us       3.042ms         7.87%       3.042ms      19.011us           0 B           0 B           0 B           0 B           160  
                                              aten::mul         4.32%       5.801ms         6.92%       9.291ms       6.278us       2.197ms         5.69%       2.197ms       1.485us           0 B           0 B       2.97 MB       2.97 MB          1480  
                                           kv_cache/cat         0.00%       0.000us         0.00%       0.000us       0.000us       1.841ms         4.77%       1.841ms      11.504us           0 B           0 B           0 B           0 B           160  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.776ms         4.60%       1.776ms      11.100us           0 B           0 B           0 B           0 B           160  
                                              aten::cat         3.40%       4.561ms         6.04%       8.107ms      12.667us       1.762ms         4.56%       1.762ms       2.753us           0 B           0 B      22.03 MB      22.03 MB           640  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.749ms         4.53%       1.749ms       1.821us           0 B           0 B           0 B           0 B           960  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.513ms         3.92%       1.513ms       1.544us           0 B           0 B           0 B           0 B           980  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.423ms         3.69%       1.423ms       4.448us           0 B           0 B           0 B           0 B           320  
                                              aten::add         2.90%       3.887ms         4.59%       6.160ms       6.286us       1.194ms         3.09%       1.194ms       1.218us           0 B           0 B       1.18 MB       1.18 MB           980  
                                            aten::copy_         0.89%       1.194ms         5.52%       7.407ms      15.303us       1.026ms         2.66%       1.026ms       2.119us           0 B           0 B           0 B           0 B           484  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     810.106us         2.10%     810.106us       1.266us           0 B           0 B           0 B           0 B           640  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     809.246us         2.09%     809.246us       2.662us           0 B           0 B           0 B           0 B           304  
                                             aten::mean         1.51%       2.029ms         2.16%       2.897ms       8.522us     787.527us         2.04%     787.527us       2.316us           0 B           0 B     170.00 KB     170.00 KB           340  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     787.527us         2.04%     787.527us       2.316us           0 B           0 B           0 B           0 B           340  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     683.868us         1.77%     683.868us       1.368us           0 B           0 B           0 B           0 B           500  
                                            mlp/act_mul         0.00%       0.000us         0.00%       0.000us       0.000us     548.643us         1.42%     548.643us       3.429us           0 B           0 B           0 B           0 B           160  
                                            aten::fill_         0.68%     919.094us         1.45%       1.945ms       4.193us     463.403us         1.20%     463.403us       0.999us           0 B           0 B           0 B           0 B           464  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     463.403us         1.20%     463.403us       0.999us           0 B           0 B           0 B           0 B           464  
                                              aten::neg         0.99%       1.328ms         1.55%       2.084ms       6.512us     459.009us         1.19%     459.009us       1.434us           0 B           0 B     240.00 KB     240.00 KB           320  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     459.009us         1.19%     459.009us       1.434us           0 B           0 B           0 B           0 B           320  
                                            aten::rsqrt         0.92%       1.234ms         1.53%       2.059ms       6.056us     417.870us         1.08%     417.870us       1.229us           0 B           0 B     170.00 KB     170.00 KB           340  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     417.870us         1.08%     417.870us       1.229us           0 B           0 B           0 B           0 B           340  
                                              aten::pow         1.60%       2.142ms         2.40%       3.225ms       9.487us     409.971us         1.06%     409.971us       1.206us           0 B           0 B     680.00 KB     680.00 KB           340  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     409.971us         1.06%     409.971us       1.206us           0 B           0 B           0 B           0 B           340  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     383.725us         0.99%     383.725us       1.129us           0 B           0 B           0 B           0 B           340  
                                           aten::arange         1.02%       1.370ms         4.05%       5.438ms       8.497us     305.340us         0.79%     610.680us       0.954us           0 B           0 B     640.00 KB           0 B           640  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     305.340us         0.79%     305.340us       0.954us           0 B           0 B           0 B           0 B           320  
                                               sampling         0.00%       0.000us         0.00%       0.000us       0.000us     283.093us         0.73%     283.093us      14.155us           0 B           0 B           0 B           0 B            20  
                                            aten::where         1.00%       1.342ms         3.87%       5.196ms      16.236us     282.479us         0.73%     719.198us       2.247us           0 B           0 B     320.00 KB     -80.00 KB           320  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     282.479us         0.73%     282.479us       1.765us           0 B           0 B           0 B           0 B           160  
                                               aten::le         0.61%     822.265us         0.91%       1.226ms       7.664us     277.971us         0.72%     277.971us       1.737us           0 B           0 B      80.00 KB      80.00 KB           160  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     277.971us         0.72%     277.971us       1.737us           0 B           0 B           0 B           0 B           160  
                                             aten::silu         0.55%     740.310us         0.89%       1.194ms       7.465us     251.858us         0.65%     251.858us       1.574us           0 B           0 B     880.00 KB     880.00 KB           160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     251.858us         0.65%     251.858us       1.574us           0 B           0 B           0 B           0 B           160  
                                              attention         0.00%       0.000us         0.00%       0.000us       0.000us     239.604us         0.62%     239.604us       1.498us           0 B           0 B           0 B           0 B           160  
                                                    mlp         0.00%       0.000us         0.00%       0.000us       0.000us     195.926us         0.51%     195.926us       1.225us           0 B           0 B           0 B           0 B           160  
                                           aten::argmax         0.12%     164.340us         0.18%     239.029us      11.951us     188.183us         0.49%     188.183us       9.409us           0 B           0 B      10.00 KB      10.00 KB            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     188.183us         0.49%     188.183us       9.409us           0 B           0 B           0 B           0 B            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     151.067us         0.39%     151.067us       1.049us           0 B           0 B           0 B           0 B           144  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      57.404us         0.15%      57.404us       3.588us           0 B           0 B           0 B           0 B            16  
                                     aten::index_select         0.13%     177.197us         0.53%     711.886us      35.594us      48.736us         0.13%      48.736us       2.437us           0 B           0 B      40.00 KB           0 B            20  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      48.736us         0.13%      48.736us       2.437us           0 B           0 B           0 B           0 B            20  
                                              embedding         0.00%       0.000us         0.00%       0.000us       0.000us      48.736us         0.13%      48.736us       2.437us           0 B           0 B           0 B           0 B            20  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      21.696us         0.06%      21.696us       1.085us           0 B           0 B           0 B           0 B            20  
                                  cudaDeviceSynchronize         0.71%     958.187us         0.71%     958.187us     319.396us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                Activity Buffer Request         0.19%     252.715us         0.19%     252.715us     252.715us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 134.269ms
Self CUDA time total: 38.628ms
