-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us     253.494us         6.82%     253.494us      31.687us           0 B           0 B           0 B           0 B             8  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us     253.494us         6.82%     253.494us      31.687us           0 B           0 B           0 B           0 B             8  
                                              aten::mul         3.03%     184.938us         4.80%     293.118us       7.328us     179.127us         4.82%     179.127us       4.478us           0 B           0 B      10.50 MB      10.50 MB            40  
                                            mlp/act_mul         0.00%       0.000us         0.00%       0.000us       0.000us     176.408us         4.75%     176.408us      22.051us           0 B           0 B           0 B           0 B             8  
                                   attention/gqa_repeat         0.00%       0.000us         0.00%       0.000us       0.000us     167.864us         4.52%     167.864us      20.983us           0 B           0 B           0 B           0 B             8  
                                              aten::add         2.15%     131.293us         3.42%     208.816us       6.525us     115.100us         3.10%     115.100us       3.597us           0 B           0 B       6.50 MB       6.50 MB            32  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     112.604us         3.03%     112.604us       2.346us           0 B           0 B           0 B           0 B            48  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      97.499us         2.62%      97.499us       3.047us           0 B           0 B           0 B           0 B            32  
                                             aten::silu         0.73%      44.250us         1.12%      68.201us       8.525us      89.468us         2.41%      89.468us      11.183us           0 B           0 B       5.50 MB       5.50 MB             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      89.468us         2.41%      89.468us      11.183us           0 B           0 B           0 B           0 B             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      81.628us         2.20%      81.628us      10.204us           0 B           0 B           0 B           0 B             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      77.565us         2.09%      77.565us       4.848us           0 B           0 B           0 B           0 B            16  
                                              aten::cat         2.69%     164.200us         5.24%     319.687us      19.980us      61.533us         1.66%      61.533us       3.846us           0 B           0 B       2.50 MB       2.50 MB            16  
                                  aten::_fused_rms_norm         1.60%      97.735us         3.91%     238.862us      14.051us      55.103us         1.48%      55.103us       3.241us           0 B           0 B       4.01 MB           0 B            17  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us      55.103us         1.48%      55.103us       3.241us           0 B           0 B           0 B           0 B            17  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      55.103us         1.48%      55.103us       3.241us           0 B           0 B           0 B           0 B            17  
                                            aten::copy_         0.74%      45.174us         6.15%     375.399us      22.082us      52.127us         1.40%      52.127us       3.066us           0 B           0 B           0 B           0 B            17  
                                                    mlp         0.00%       0.000us         0.00%       0.000us       0.000us      38.943us         1.05%      38.943us       4.868us           0 B           0 B           0 B           0 B             8  
                                              attention         0.00%       0.000us         0.00%       0.000us       0.000us      38.622us         1.04%      38.622us       4.828us           0 B           0 B           0 B           0 B             8  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      37.535us         1.01%      37.535us       2.346us           0 B           0 B           0 B           0 B            16  
                                              aten::neg         1.19%      72.440us         1.82%     110.986us       6.937us      32.223us         0.87%      32.223us       2.014us           0 B           0 B       1.25 MB       1.25 MB            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      32.223us         0.87%      32.223us       2.014us           0 B           0 B           0 B           0 B            16  
                                               sampling         0.00%       0.000us         0.00%       0.000us       0.000us      17.023us         0.46%      17.023us      17.023us           0 B           0 B           0 B           0 B             1  
                                           aten::argmax         0.19%      11.295us         0.27%      16.294us      16.294us       9.440us         0.25%       9.440us       9.440us           0 B           0 B         512 B         512 B             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       9.440us         0.25%       9.440us       9.440us           0 B           0 B           0 B           0 B             1  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.409us         0.15%       5.409us       0.338us           0 B           0 B           0 B           0 B            16  
                                           aten::gather         0.47%      28.895us         5.34%     325.987us     325.987us       3.200us         0.09%       3.200us       3.200us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       3.200us         0.09%       3.200us       3.200us           0 B           0 B           0 B           0 B             1  
                                              embedding         0.00%       0.000us         0.00%       0.000us       0.000us       3.200us         0.09%       3.200us       3.200us           0 B           0 B           0 B           0 B             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       1.056us         0.03%       1.056us       1.056us           0 B           0 B           0 B           0 B             1  
                                  cudaDeviceSynchronize         0.13%       7.799us         0.13%       7.799us       2.600us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                Activity Buffer Request         4.34%     264.869us         4.34%     264.869us     264.869us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                              embedding         1.42%      86.525us         7.80%     476.340us     476.340us       0.000us         0.00%       3.200us       3.200us           0 B           0 B     256.00 KB           0 B             1  
                                        aten::embedding         0.23%      13.954us         6.39%     389.815us     389.815us       0.000us         0.00%       3.200us       3.200us           0 B           0 B     256.00 KB           0 B             1  
                                          aten::reshape         0.53%      32.122us         0.82%      50.138us       1.194us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            42  
                                             aten::view         0.88%      53.772us         0.88%      53.772us       0.430us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           125  
                                     aten::index_select         0.32%      19.357us         5.99%     365.590us     365.590us       0.000us         0.00%       3.200us       3.200us           0 B           0 B     256.00 KB           0 B             1  
                                            aten::empty         3.00%     183.395us         3.00%     183.395us       2.210us       0.000us         0.00%       0.000us       0.000us         128 B         128 B      10.01 MB      10.01 MB            83  
                                          aten::resize_         0.12%       7.198us         0.12%       7.198us       7.198us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     256.00 KB     256.00 KB             1  
                                           aten::expand         0.38%      23.371us         0.49%      30.196us       1.776us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17  
                                       aten::as_strided         1.82%     111.119us         1.82%     111.119us       0.377us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           295  
                                       cudaLaunchKernel        13.99%     854.038us        13.99%     854.038us       4.028us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           212  
                                                layer_0         0.68%      41.211us        14.00%     854.635us     854.635us       0.000us         0.00%     429.387us     429.387us           0 B           0 B     448.00 KB    -512.00 KB             1  
                                                rmsnorm         3.14%     191.877us         8.07%     492.697us      28.982us       0.000us         0.00%      55.103us       3.241us           0 B           0 B       1.75 MB      -2.25 MB            17  
                                         aten::rms_norm         1.02%      61.958us         4.93%     300.820us      17.695us       0.000us         0.00%      55.103us       3.241us           0 B           0 B       4.00 MB      -8.50 KB            17  
                                              attention         5.49%     334.864us        54.25%       3.311ms     413.862us       0.000us         0.00%       1.603ms     200.380us           0 B           0 B       5.50 MB     -10.00 MB             8  
                                     attention/qkv_proj         2.02%     123.554us         6.09%     371.554us      46.444us       0.000us         0.00%     645.989us      80.749us           0 B           0 B       3.00 MB           0 B             8  
                                           aten::linear         0.81%      49.525us        14.87%     907.285us      22.682us       0.000us         0.00%       2.609ms      65.222us           0 B           0 B      18.00 MB           0 B            40  
                                                aten::t         0.63%      38.246us         1.69%     103.012us       2.575us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            40  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.103ms
Self CUDA time total: 3.716ms
